web-scraper-order,web-scraper-start-url,link,link-href,prix,etat,marque,dimension
"1738771001-33","https://www.expat-dakar.com/tv-home-cinema?page=97","Smart TV 43'' pouce
                                NeufLG, Samsung,
                                                                                    Parcelles Assainies,
                                                                                Dakar
                                    
                                        22. janv., 10:16
                                    
            125 900 F Cfa
        
                    180 000 F Cfa
                        
            Économisez 30.1%
        
                        772391010
                    
                        773041633
                    
                        338357221","https://www.expat-dakar.com/annonce/smart-tv-43-pouce-2962629","125 900 F Cfa
        
                    180 000 F Cfa
                        
            Économisez 30.1%","Neuf","LG, Samsung,","43.0 Pouces"
"1738771003-34","https://www.expat-dakar.com/tv-home-cinema?page=97","Smart TV 65''
                                NeufLG, Samsung,
                                                                                    Parcelles Assainies,
                                                                                Dakar
                                    
                                        4. janv., 15:30
                                    
                    430 000 F Cfa
                        
                        772391010
                    
                        773041633
                    
                        338357221","https://www.expat-dakar.com/annonce/smart-tv-65-2962643","430 000 F Cfa","Neuf","LG, Samsung,","65.0 Pouces"
"1738771006-35","https://www.expat-dakar.com/tv-home-cinema?page=97","Smart TV Vizio 65'' pouce 4K
                                NeufLG, Samsung,
                                                                                    Parcelles Assainies,
                                                                                Dakar
                                    
                                        6. janv., 16:51
                                    
                    475 000 F Cfa
                        
                        772391010
                    
                        773041633
                    
                        338357221","https://www.expat-dakar.com/annonce/smart-tv-vizio-65-pouce-4k-4600259","475 000 F Cfa","Neuf","LG, Samsung,","75.0 Pouces"
"1738771008-36","https://www.expat-dakar.com/tv-home-cinema?page=97","TV ASTECH LED
                                NeufAstech 
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        vendredi, 13:41
                                    
                    60 000 F Cfa
                        
                        774959988
                    
                        778036527","https://www.expat-dakar.com/annonce/tv-astech-led-6164741","60 000 F Cfa","Neuf","Astech","32.0 Pouces"
"1738771011-37","https://www.expat-dakar.com/tv-home-cinema?page=97","Google TV 55"" 4k UHD Qled
                                NeufAutre
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        4. janv., 11:09
                                    
                    260 000 F Cfa
                        
                        778452442
                    
                        778452442","https://www.expat-dakar.com/annonce/google-tv-55-4k-uhd-qled-6163407","260 000 F Cfa","Neuf","Autre","55.0 Pouces"
"1738771013-38","https://www.expat-dakar.com/tv-home-cinema?page=97","TÉLÉVISEUR 55POUCES DESKA SMART ANTI-CASSE
                                NeufAutre
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        8. janv., 11:03
                                    
                    239 000 F Cfa
                        
                        787352634","https://www.expat-dakar.com/annonce/televiseur-55pouces-deska-smart-anti-casse-6175518","239 000 F Cfa","Neuf","Autre","55.0 Pouces"
"1738771016-39","https://www.expat-dakar.com/tv-home-cinema?page=97","TÉLÉVISEUR DESKA 55POUCES SMART ANTI-CASSE
                                NeufAutre
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        2. janv., 11:55
                                    
                    239 000 F Cfa
                        
                        776862827","https://www.expat-dakar.com/annonce/televiseur-deska-55pouces-smart-anti-casse-6175554","239 000 F Cfa","Neuf","Autre","55.0 Pouces"
"1738771018-40","https://www.expat-dakar.com/tv-home-cinema?page=97","Télévision smart Android
                                NeufAutre
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        23. oct. '24, 21:48
                                    
                    110 000 F Cfa
                        
                        778623450","https://www.expat-dakar.com/annonce/television-smart-android-6175695","110 000 F Cfa","Neuf","Autre","43.0 Pouces"
"1738771021-41","https://www.expat-dakar.com/tv-home-cinema?page=97","Projecteur 4K avec écran
                                NeufAutre
                                                                                    Grand-Yoff,
                                                                                Dakar
                                    
                                        7. janv., 11:37
                                    
                                            Vendeur vérifié
                                        
                    115 000 F Cfa
                        
                        772578471","https://www.expat-dakar.com/annonce/projecteur-4k-avec-ecran-6000679","115 000 F Cfa","Neuf","Autre","150.0 Pouces"
"1738771026-42","https://www.expat-dakar.com/tv-home-cinema?page=96","TÉLÉVISEUR TCL 55POUCES SMART ANDROID 4K UHD
                                NeufTCL
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        7. janv., 15:07
                                    
                    249 000 F Cfa
                        
                        783050985","https://www.expat-dakar.com/annonce/televiseur-tcl-55pouces-smart-android-4k-uhd-6176428","249 000 F Cfa","Neuf","TCL","55.0 Pouces"
"1738771028-43","https://www.expat-dakar.com/tv-home-cinema?page=96","TÉLÉVISEUR TLC 55POUCES SMART ANDROID 4K UHD
                                NeufTCL
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        7. janv., 14:09
                                    
                    249 000 F Cfa
                        
                        767335517","https://www.expat-dakar.com/annonce/televiseur-tlc-55pouces-smart-android-4k-uhd-6170710","249 000 F Cfa","Neuf","TCL","55.0 Pouces"
"1738771030-44","https://www.expat-dakar.com/tv-home-cinema?page=96","TÉLÉVISEUR TCL 32POUCES SMART ANDROID 4K UHD
                                NeufTCL
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        7. janv., 14:15
                                    
                    98 000 F Cfa
                        
                        756335874","https://www.expat-dakar.com/annonce/televiseur-tcl-32pouces-smart-android-4k-uhd-6176441","98 000 F Cfa","Neuf","TCL","32.0 Pouces"
"1738771033-45","https://www.expat-dakar.com/tv-home-cinema?page=96","TÉLÉVISEUR TCL 32POUCES SMART ANDROID 4K UHD
                                NeufTCL
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        7. janv., 15:16
                                    
                    98 000 F Cfa
                        
                        783860578","https://www.expat-dakar.com/annonce/televiseur-tcl-32pouces-smart-android-4k-uhd-6176436","98 000 F Cfa","Neuf","TCL","32.0 Pouces"
"1738771035-46","https://www.expat-dakar.com/tv-home-cinema?page=96","TÉLÉVISEUR 43POUCES TCL SMART
                                NeufTCL
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        7. janv., 15:26
                                    
                    169 000 F Cfa
                        
                        770723466","https://www.expat-dakar.com/annonce/televiseur-43pouces-tcl-smart-6176490","169 000 F Cfa","Neuf","TCL","43.0 Pouces"
"1738771038-47","https://www.expat-dakar.com/tv-home-cinema?page=96","TÉLÉVISEUR TLC 43POUCES SMART
                                NeufTCL
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        7. janv., 15:43
                                    
                    169 000 F Cfa
                        
                        781066640
                    
                        781066640","https://www.expat-dakar.com/annonce/televiseur-tlc-43pouces-smart-6176497","169 000 F Cfa","Neuf","TCL","43.0 Pouces"
"1738771040-48","https://www.expat-dakar.com/tv-home-cinema?page=96","AnyCast Récepteur WiFi caster SmartPhone Tablette PC à TV
                                NeufAutre
                                                                                    Parcelles Assainies,
                                                                                Dakar
                                    
                                        lundi, 10:43
                                    
                    13 000 F Cfa
                        
                        784485061
                    
                        784074746
                    
                        774526008","https://www.expat-dakar.com/annonce/anycast-recepteur-wifi-caster-smartphone-tablette-pc-a-tv-2985595","13 000 F Cfa","Neuf","Autre",""
"1738771043-49","https://www.expat-dakar.com/tv-home-cinema?page=96","TÉLÉVISEUR TORL 32POUCES
                                NeufAutre
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        7. janv., 15:07
                                    
                    62 000 F Cfa
                        
                        783050985","https://www.expat-dakar.com/annonce/televiseur-torl-32pouces-6178368","62 000 F Cfa","Neuf","Autre","32.0 Pouces"
"1738771045-50","https://www.expat-dakar.com/tv-home-cinema?page=96","TÉLÉVISEUR TORL 32POUCES SMART ANDROID ANTI CASSE
                                NeufAutre
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        7. janv., 14:09
                                    
                    89 000 F Cfa
                        
                        767335517","https://www.expat-dakar.com/annonce/televiseur-torl-32pouces-smart-android-anti-casse-6178369","89 000 F Cfa","Neuf","Autre","32.0 Pouces"
"1738771048-51","https://www.expat-dakar.com/tv-home-cinema?page=96","TÉLÉVISEUR 32POUCES TCL SMART ANDROID 4K UHD
                                NeufTCL
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        7. janv., 15:16
                                    
                    89 000 F Cfa
                        
                        783860578","https://www.expat-dakar.com/annonce/televiseur-32pouces-tcl-smart-android-4k-uhd-6178376","89 000 F Cfa","Neuf","TCL","32.0 Pouces"
"1738771053-52","https://www.expat-dakar.com/tv-home-cinema?page=95","TÉLÉVISEUR SYINIX 32POUCES LED SMART
                                NeufAutre
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        7. janv., 14:14
                                    
                    59 000 F Cfa
                        
                        756335874","https://www.expat-dakar.com/annonce/televiseur-syinix-32pouces-led-smart-6178378","59 000 F Cfa","Neuf","Autre","32.0 Pouces"
"1738771056-53","https://www.expat-dakar.com/tv-home-cinema?page=95","TÉLÉVISEUR 32POUCES SAMSUNG UA SMART
                                NeufSamsung
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        7. janv., 15:26
                                    
                    149 000 F Cfa
                        
                        770723466","https://www.expat-dakar.com/annonce/televiseur-32pouces-samsung-ua-smart-6178385","149 000 F Cfa","Neuf","Samsung","32.0 Pouces"
"1738771058-54","https://www.expat-dakar.com/tv-home-cinema?page=95","TÉLÉVISEUR 32POUCES LG SMART ANDROID
                                NeufLG
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        7. janv., 15:38
                                    
                    129 000 F Cfa
                        
                        768882180","https://www.expat-dakar.com/annonce/televiseur-32pouces-lg-smart-android-6178394","129 000 F Cfa","Neuf","LG","32.0 Pouces"
"1738771060-55","https://www.expat-dakar.com/tv-home-cinema?page=95","TÉLÉVISEUR RISING 32POUCES SMART
                                NeufAutre
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        7. janv., 15:56
                                    
                    69 000 F Cfa
                        
                        776862827","https://www.expat-dakar.com/annonce/televiseur-rising-32pouces-smart-6178391","69 000 F Cfa","Neuf","Autre","32.0 Pouces"
"1738771063-56","https://www.expat-dakar.com/tv-home-cinema?page=95","BARRE DE SON HISENSE 1200W
                                RéconditionnéHisense
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        7. janv., 15:43
                                    
                    79 000 F Cfa
                        
                        781066640
                    
                        781066640","https://www.expat-dakar.com/annonce/barre-de-son-hisense-1200w-6178494","79 000 F Cfa","Réconditionné","Hisense",""
"1738771065-57","https://www.expat-dakar.com/tv-home-cinema?page=95","Home Cinema SAMSOUND 5.1 DM8537B
                                NeufSamsung
                                                                                    Grand-Dakar,
                                                                                Dakar
                                    
                                        lundi, 12:20
                                    
                    75 000 F Cfa
                        
                        782963838
                    
                        762963434
                    
                        771874229","https://www.expat-dakar.com/annonce/home-cinema-samsound-51-dm8537b-3767093","75 000 F Cfa","Neuf","Samsung",""
"1738771068-58","https://www.expat-dakar.com/tv-home-cinema?page=95","TÉLÉVISEUR SYINIX 32POUCES LED
                                NeufAutre
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        7. janv., 20:09
                                    
                    63 000 F Cfa
                        
                        777510319
                    
                        777510319","https://www.expat-dakar.com/annonce/televiseur-syinix-32pouces-led-6179451","63 000 F Cfa","Neuf","Autre","32.0 Pouces"
"1738771070-59","https://www.expat-dakar.com/tv-home-cinema?page=95","TÉLÉVISEUR SYINIX 32POUCES LED
                                NeufAutre
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        8. janv., 11:34
                                    
                    63 000 F Cfa
                        
                        784111819","https://www.expat-dakar.com/annonce/televiseur-syinix-32pouces-led-6179472","63 000 F Cfa","Neuf","Autre","32.0 Pouces"
"1738771072-60","https://www.expat-dakar.com/tv-home-cinema?page=95","TELEVISEUR 55"" SAMSUNG UHD SMART 4K
                                NeufSamsung
                                                                                    Médina,
                                                                                Dakar
                                    
                                        8. oct. '24, 22:13
                                    
                    325 000 F Cfa
                        
                        776164045","https://www.expat-dakar.com/annonce/televiseur-55-samsung-uhd-smart-4k-6041981","325 000 F Cfa","Neuf","Samsung","55.0 Pouces"
"1738771075-61","https://www.expat-dakar.com/tv-home-cinema?page=95","TÉLÉVISEUR ASTECH 75POUCES QLED SMART ANDROID
                                NeufAstech 
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        8. janv., 11:06
                                    
                    569 000 F Cfa
                        
                        781066640
                    
                        781066640","https://www.expat-dakar.com/annonce/televiseur-astech-75pouces-qled-smart-android-6180802","569 000 F Cfa","Neuf","Astech","75.0 Pouces"
"1738771080-62","https://www.expat-dakar.com/tv-home-cinema?page=94","TÉLÉVISEUR ASTECH 75POUCES QLED SMART ANDROID
                                NeufAstech 
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        8. janv., 11:15
                                    
                    569 000 F Cfa
                        
                        783050985","https://www.expat-dakar.com/annonce/televiseur-astech-75pouces-qled-smart-android-6180804","569 000 F Cfa","Neuf","Astech","75.0 Pouces"
